Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
RASGRP4	19	38409051	38426305
AMICA1	11	118193740	118225094
ARFGEF1	8	67173511	67343677
ASB9	X	15235288	15270467
NAGK	2	71064344	71079805
MUC7	4	70430492	70482997
TMC2	20	2536607	2641784
FAM71E1	19	50466785	50476753
CCDC149	4	24806117	24980204
CXCL5	4	73995642	73998779
ZNF677	19	53235381	53254898
SNAP23	15	42491233	42545356
HGSNAT	8	43140455	43202855
VCL	10	73995193	74121363
SLC36A2	5	151314978	151347590
ODF2	9	128455186	128501292
HSP90B1	12	103930107	103953645
GLRA1	5	151822513	151924842
CHERP	19	16517889	16542530
ALG8	11	78100936	78139660
GPATCH4	1	156594487	156601496
NAGPA	16	5024844	5034141
OGFRL1	6	71288803	71308950
BRIP1	17	61681266	61863521
KIF5B	10	32009010	32056431
TRIM64B	11	89869282	89876017
IFNAR1	21	33324477	33359862
ACOT2	14	73567620	73575658
BIRC2	11	102347211	102378670
LRG1	19	4536409	4540474
TRIM31	CHR_HSCHR6_MHC_APD_CTG1	30102946	30105603
IFI35	17	43006725	43014456
EEPD1	7	36153149	36301543
ADRA2A	10	111077163	111080907
C6orf10	CHR_HSCHR6_MHC_MCF_CTG1	32392894	32448091
HLA-DQB1	6	32659467	32668383
SHROOM2	X	9786456	9949443
PCSK2	20	17226107	17484578
ARGFX	3	121570704	121586634
FAM9A	X	8790795	8801383
BCOR	X	40049815	40177329
PAAF1	11	73876699	73931124
POU6F1	12	51186936	51217693
RGS17	6	153004459	153131249
THAP8	19	36034985	36054762
DDX3Y	Y	12904108	12920478
WDR92	2	68122936	68157560
CCNJ	10	96043394	96060870
HMCN1	1	185734551	186190949
PGS1	17	78378640	78425114
POLG2	17	64477785	64497036
KDM6B	17	7839904	7854796
PLEKHA8	7	30027404	30130483
MDC1	CHR_HSCHR6_MHC_QBL_CTG1	30689327	30707408
HAPLN3	15	88877288	88895626
CCT2	12	69585334	69601570
FSTL3	19	676365	683399
TSR1	17	2322503	2337507
NSD1	5	177133025	177300215
RGL2	CHR_HSCHR6_MHC_DBB_CTG1	33269579	33277249
CEP63	3	134485743	134575017
SMARCC1	3	47585272	47782106
NCR3	CHR_HSCHR6_MHC_SSTO_CTG1	31579641	31583730
DIP2B	12	50504985	50748667
ATG7	3	11272309	11557665
OR2AT4	11	75088713	75089754
SETX	9	132261356	132354985
MMD2	7	4905989	4959213
NPBWR2	CHR_HSCHR20_1_CTG3	64105820	64107171
C16orf59	16	2460080	2464963
TRMU	22	46330875	46357340
AQR	15	34851782	34969839
TFDP3	X	133216669	133218348
HLA-DRA	CHR_HSCHR6_MHC_COX_CTG1	32388087	32393254
TXNRD2	22	19875517	19941992
ZNF135	19	58059239	58086310
ZMYND15	17	4740015	4746119
CLEC12A	12	9951316	9995694
CHCHD10	CHR_HSCHR22_1_CTG7	23765834	23768443
ARPC3	12	110434825	110450422
LMO2	11	33858576	33892289
MAS1	6	159906690	159916530
CFHR4	1	196850241	196918972
C6orf47	CHR_HSCHR6_MHC_COX_CTG1	31645706	31648178
HTR3C	3	184053047	184060671
AURKC	19	57230802	57235548
IFI27L1	CHR_HSCHR14_7_CTG1	94081282	94103846
SCN7A	2	166403573	166494247
COL11A2	CHR_HSCHR6_MHC_MANN_CTG1	33316561	33346378
NEDD1	12	96907223	96953777
CLIC1	6	31730581	31739763
PRSS33	16	2783953	2787948
COL11A2	CHR_HSCHR6_MHC_COX_CTG1	33084308	33114125
APLP1	19	35867899	35879791
IRF3	19	49659569	49665875
ZNF546	19	39984134	40021041
IRF1	5	132481609	132490798
TCF3	19	1609290	1652605
LUC7L3	17	50719544	50756213
CCNL2	1	1385711	1399328
SLC26A5	7	103352730	103446177
IQSEC3	CHR_HSCHR12_1_CTG1	70780	175481
KIAA1468	18	62187258	62307829
WBP11	12	14784579	14803540
C1orf112	1	169662007	169854080
GALR1	18	77250549	77277896
ZMYM6	1	34986165	35031968
FAM24A	10	122910701	122913111
ADRA1B	5	159916783	159972544
MAEA	4	1289851	1340147
ANKLE1	19	17281645	17287646
HOXA9	7	27162435	27175180
SRPK1	6	35832966	35921342
PLA2G16	11	63573195	63616883
GPR19	12	12660891	12696207
TBRG4	7	45100100	45112047
TNF	CHR_HSCHR6_MHC_MANN_CTG1	31615015	31617784
HIPK4	19	40379271	40390187
UNG	12	109097574	109110992
C6orf136	CHR_HSCHR6_MHC_MCF_CTG1	30725496	30731566
DGCR6L	22	20314276	20320080
SENP2	3	185582496	185633551
CYSLTR2	13	48653711	48711226
KRT5	12	52514575	52520687
CCNY	10	35247025	35572669
HOXA10	7	27170591	27180261
LONRF2	2	100273291	100322733
KIR3DL3	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54724485	54736504
FZD3	8	28494205	28574268
MXRA7	17	76672551	76711016
C16orf52	16	22007638	22087534
NAP1L3	X	93670930	93673568
MUC1	1	155185824	155192916
U2AF2	19	55654146	55674715
LRRC26	9	137168758	137170051
CSPP1	8	67062426	67196263
OR2T6	CHR_HSCHR1_2_CTG32_1	248387950	248388876
CA10	17	51630313	52160017
ZBTB41	1	197153680	197200542
C10orf120	10	122697709	122699822
CLIC1	CHR_HSCHR6_MHC_MCF_CTG1	31806863	31816046
GCG	2	162142873	162152404
MYBBP1A	17	4538897	4555631
C7orf73	7	135662496	135693418
CD101	1	117001750	117036476
MYBPHL	1	109292365	109307041
GRPR	X	16123556	16153021
ZDHHC16	10	97446131	97457370
TRAP1	16	3651639	3717597
SLC6A12	12	190077	214570
ZNF205	16	3112560	3120517
STRN	2	36843640	36966472
ADCY6	12	48766194	48789037
AATF	CHR_HSCHR17_7_CTG4	36950708	37058704
SOCS4	14	55027230	55049488
ZNF653	19	11483427	11505923
UBL5	19	9827892	9830115
ADORA3	1	111499429	111503760
ASB14	3	57268347	57292682
PPP1R10	6	30600400	30618612
CLEC3A	16	78022515	78066761
COL1A1	17	50183289	50201632
KATNB1	16	57735730	57757250
BARX1	9	93951622	93955372
ZBTB7A	19	4044364	4066945
NRM	CHR_HSCHR6_MHC_DBB_CTG1	30678308	30681681
CLRN2	4	17515165	17527104
ABCF1	CHR_HSCHR6_MHC_MCF_CTG1	30649829	30675633
FOXA3	19	45863989	45873797
BEND6	6	56955126	57027342
KLHL5	4	39045039	39126857
AKR1C1	10	4963253	5107522
GNG2	14	51826195	51979342
DCTN2	12	57530102	57547331
OSBPL11	3	125528858	125595090
PDZD7	10	101007683	101031157
GALNS	16	88813734	88856970
CCNC	6	99542380	99568973
KIFC1	6	33391536	33409924
CD53	1	110873154	110899928
BLOC1S3	19	45178745	45181801
NOL3	16	67170154	67175735
COL11A2	CHR_HSCHR6_MHC_DBB_CTG1	33140587	33170405
RGS9BP	19	32675407	32678300
CNGA4	11	6234765	6244429
MAGEA12	X	152733779	152737669
MECOM	3	169083499	169663618
KCNIP2	10	101825974	101843920
KIR3DL3	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54724485	54736502
CDH17	8	94127171	94217303
FZD10	12	130162459	130165740
OR5AC2	3	98087173	98088102
GPR107	9	130053426	130140169
TCF15	20	603797	610398
BZW2	7	16646131	16706523
SPC25	CHR_HSCHR2_1_CTG7_2	168834132	168930360
PCYT1A	3	196214222	196287957
TAAR2	6	132617022	132624275
FAM161A	2	61824854	61854143
OPA1	3	193593144	193697823
RPL13	16	89560657	89566828
CD320	19	8302127	8308356
PPP6R3	11	68460731	68615334
NSUN5	7	73302517	73308867
DHRS11	CHR_HSCHR17_7_CTG4	36592761	36601768
MYCBPAP	17	50508384	50531501
GPR31	6	167156271	167158329
TMEM246	9	101473171	101533537
TADA2A	CHR_HSCHR17_7_CTG4	37411498	37484368
MRPL24	1	156737303	156741590
ZFPM1	16	88453317	88537016
MYO18B	22	25742144	26031041
HTR7	10	90740823	90857698
ATP6AP1L	5	82279462	82386977
BECN1	17	42810134	42833350
LENG9	19	54461796	54463711
OMG	17	31272013	31297539
GTF3C1	16	27459555	27549913
ZFAND1	8	81701334	81732903
XKR8	1	27959462	27968096
LIPG	18	49560699	49599182
PJA2	5	109334709	109409994
SPATC1	8	144012414	144047085
TIMP4	3	12153051	12159351
BCHE	3	165772904	165837472
SIRT6	19	4174109	4182604
ZNF251	8	144720907	144756417
ZNF507	19	32345594	32387667
OR2W1	CHR_HSCHR6_MHC_SSTO_CTG1	29045035	29046062
MDC1	CHR_HSCHR6_MHC_MANN_CTG1	30744466	30762547
IL17RA	22	17084954	17115694
FCGRT	19	49506816	49526333
CDC45	22	19479459	19520612
MED13L	12	115953872	116277338
MSRB1	16	1938210	1943326
AHNAK2	14	104937244	104978357
IL17B	5	149371324	149404202
C1QTNF1	17	79022814	79049788
RASD2	22	35540868	35554001
CCND3	6	41934933	42050357
ZMIZ1	10	79069035	79316528
HTRA4	8	38974164	38988662
ZBTB22	CHR_HSCHR6_MHC_MCF_CTG1	33484759	33488283
KRTAP4-11	17	41117181	41118360
ARL13B	3	93980139	94055668
HINT1	5	131159027	131171735
PHB	17	49404049	49414905
TMEM55A	8	90993796	91041064
HLA-B	CHR_HSCHR6_MHC_COX_CTG1	31344351	31347723
FOXB2	9	77019655	77020953
TOR1B	9	129803153	129811281
B3GALT4	CHR_HSCHR6_MHC_DBB_CTG1	33255053	33256746
RPRD2	1	150363091	150476566
IGF2BP1	17	48997412	49055650
CLIC4	1	24745357	24844324
GP1BA	17	4932297	4935030
EMILIN3	20	41359966	41366827
PKDREJ	22	46255663	46263355
CLNK	4	10486395	10684865
VWA1	1	1434861	1442882
IAH1	2	9473658	9496543
CALCA	11	14966668	14972354
CCDC88B	11	64340223	64357534
EMC2	8	108443601	108486918
C12orf40	12	39626167	39908300
VPS37A	8	17246571	17302427
PLIN5	19	4522531	4535224
CEP170	1	243124428	243255348
SLC44A5	1	75202131	75611116
C9orf50	9	129612225	129620776
FAM3C	7	121348851	121396364
IFNW1	9	21140214	21142145
RCVRN	17	9896320	9905621
RP5-1187M17.10	20	3162617	3173592
PCDHB16	5	141181399	141186399
HLA-DMB	CHR_HSCHR6_MHC_QBL_CTG1	32863344	32881839
ANXA6	5	151100712	151157882
ATAT1	CHR_HSCHR6_MHC_MANN_CTG1	30671478	30691459
RNLS	10	88273864	88584530
FAM83F	22	39994949	40043529
PDHA2	4	95840019	95841474
TTBK2	15	42738734	42920809
LIPM	10	88802730	88820546
PQLC1	18	79902420	79951664
MCCC1	3	183015218	183116075
TXLNB	6	139240061	139292139
ACOT4	14	73591706	73596496
SORCS3	10	104641101	105265235
TOE1	1	45339670	45343975
RND2	17	43025241	43032036
ASB6	9	129634604	129642169
RASL10B	17	35731649	35743521
KCNK3	2	26692690	26733420
CALCB	11	14904997	15082342
SEC61B	9	99222064	99230615
ARHGAP1	11	46677080	46700615
PRRC2A	CHR_HSCHR6_MHC_SSTO_CTG1	31611467	31628517
F13A1	6	6144085	6321013
PCDHB12	5	141208697	141212571
PARN	16	14435701	14632728
OR12D2	6	29396555	29397671
TFAP4	16	4257186	4273075
ADAM32	CHR_HSCHR8_9_CTG1	39106990	39284943
TBC1D9B	5	179862066	179907859
OR2H1	CHR_HSCHR6_MHC_MANN_CTG1	29456712	29463860
PGGT1B	5	115204012	115262872
PIGQ	16	566995	584136
GALNT9	12	132196372	132329349
RNF41	12	56202175	56221933
HBQ1	16	180453	181181
IRAK3	12	66188879	66254622
GGN	19	38384265	38388082
SERPINA3	14	94592058	94624646
OR4F5	1	69091	70008
MAN1B1	9	137086927	137109187
TLR10	4	38772239	38782990
XRCC4	5	83077498	83353787
ALDOB	9	101420578	101435823
DLGAP2	CHR_HSCHR8_5_CTG1	1501879	1707457
SOS1	2	38981396	39124345
CDR2	16	22345936	22437165
OR2W1	CHR_HSCHR6_MHC_COX_CTG1	29040820	29041847
ZNF615	19	51991332	52008230
OR2AP1	12	55574415	55575344
DUSP8	CHR_HSCHR11_1_CTG6	1559754	1577630
RAD17	5	69369293	69414801
GPR161	1	168079543	168137667
OR1E1	17	3397104	3398410
MBTPS2	X	21839636	21885424
TMEM132D	12	129071725	129903666
EZR	6	158765741	158819412
MORF4L1	15	78810487	78898133
RAB15	14	64945814	64972776
RUFY3	4	70704204	70807315
STK25	2	241492674	241509730
LRRC23	12	6873569	6914243
ZNF792	19	34956354	34964049
KIF4B	5	155013755	155018132
ZC3H7A	16	11750586	11797267
C10orf91	10	132444327	132449408
FOXJ3	1	42176539	42335877
COQ6	14	73949926	73963670
CPB2	13	46053186	46105076
PVRL4	1	161070995	161089599
SMAD3	15	67063763	67195195
YY2	X	21855987	21858727
PDIA3	15	43746392	43773279
ARHGEF33	2	38889880	38975449
RNF26	11	119334527	119337313
CNTF	11	58622673	58625733
DMBT1	10	122560665	122643736
PEX12	17	35574795	35578863
MCM9	6	118813442	118935162
HOXD9	2	176122720	176124937
PIWIL2	8	22275297	22357563
EPHX4	1	92029982	92063536
TMEM25	11	118531041	118547280
PCDHB8	5	141177790	141180529
PPM1N	19	45488777	45502510
PTPRU	1	29236516	29326813
ZFP2	5	178895894	178933212
PNPT1	2	55634265	55693910
DCDC2	6	24171756	24358052
SULT1C4	2	108377911	108388057
N4BP2	4	40056826	40158252
ACTRT3	3	169766921	169769895
OGG1	3	9749944	9788219
ADRBK1	11	67266410	67286556
NPC1L1	7	44512535	44541315
MIA2	14	39230231	39253655
ADAM19	5	157395534	157575775
GLYCTK	3	52287089	52293476
RAD23B	9	107283137	107332194
IPO5	13	97953658	98024297
ST8SIA6	10	17318383	17454330
ARHGAP17	16	24919385	25015666
DUS4L	7	107563484	107578464
CAMK2A	5	150219491	150290291
PDE3B	11	14643723	14872044
AHCYL1	1	109984686	110023741
FAM47E	4	76214040	76283780
WDR82	3	52254421	52288020
VPS25	17	42773436	42779599
UNC45A	15	90930180	90954093
FAM187B	19	35224800	35228729
ZP1	11	60867562	60875693
ADCY9	16	3953387	4116185
PBOV1	6	138215986	138218491
SLC38A2	12	46358189	46372867
PIF1	15	64815632	64825668
CPEB3	10	92046692	92291087
RPH3A	12	112570380	112898881
LRFN4	11	66856647	66860475
TBL1XR1	3	177019355	177197396
ATP5G1	17	48892765	48895871
NIT1	1	161118086	161125445
STAT6	12	57095408	57132139
DCUN1D1	3	182938074	182985953
CCDC27	1	3752398	3771645
CIITA	16	10877198	10932281
PPIL6	6	109390215	109441171
MMACHC	1	45500053	45513382
ECSIT	19	11505916	11529174
PMP2	8	81440326	81447523
NAT9	17	74770547	74776367
BLM	15	90717327	90816165
SCN4A	17	63938554	63972918
EPN1	19	55675226	55709858
MCCC2	CHR_HSCHR5_2_CTG1_1	70802600	70819771
ANGPTL5	11	101890674	101916522
FAM174A	5	100535305	100586741
CCDC116	22	21632716	21637327
CCDC125	CHR_HSCHR5_2_CTG1_1	69281282	69332741
CASC3	17	40140318	40172183
PPP1R18	CHR_HSCHR6_MHC_MCF_CTG1	30754873	30766379
DNM3	1	171841498	172418466
TMEM213	7	138797952	138838101
GK	X	30653359	30731456
ESRRG	1	216503246	217137755
TTF2	1	117060303	117107453
ZNF625	19	12142090	12156729
NPNT	4	105894775	106004027
SLC39A9	14	69398015	69462388
SPATA2L	16	89696343	89701705
KLLN	10	87859161	87863437
HDDC3	15	90929964	90932569
ARMCX3	X	101622797	101627843
ZXDB	X	57591652	57597545
CREG2	2	101345551	101387595
CEBPB	20	50190734	50192689
F2	11	46719180	46739506
MSMB	10	46033307	46046269
CHMP4A	14	24209583	24213869
DBT	1	100186919	100249834
KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54803599	54814548
MRPL3	3	131462212	131502983
MNS1	15	56421544	56465137
RPA2	1	27891524	27914746
SPRR1B	1	153031202	153032900
UCK1	9	131523801	131531268
ASB16	17	44170447	44179083
CORT	1	10449719	10451902
ZBTB3	11	62748319	62754188
NME6	3	48293264	48301685
BANF2	20	17693672	17735871
EXOC2	6	485133	693111
SIPA1	11	65585395	65650930
GABRR1	6	89177501	89231278
RAB2A	8	60516857	60623627
DOCK10	2	224765090	225042445
ITGA2	5	52989326	53094779
EYS	6	63719980	65707225
PHTF1	1	113696831	113759489
HAGH	16	1795620	1827194
ARHGAP29	1	94148988	94275068
ABCA1	9	104781002	104928237
CERCAM	9	128411751	128437351
TIGD5	CHR_HSCHR8_3_CTG7	143597835	143603224
NGB	14	77265483	77271312
LBR	1	225401502	225428925
GP2	16	20309572	20327808
PPP1R37	19	45091396	45148077
SMARCC2	12	56162983	56189567
SPRR4	1	152970666	152972574
MAGEB16	X	35798342	35803735
GLIPR1	12	75480680	75503853
AGPAT1	CHR_HSCHR6_MHC_COX_CTG1	32116683	32126567
GCNT4	5	75025346	75030899
TANC1	2	158968634	159232659
GJC1	17	44798448	44830816
PLD1	3	171600405	171810950
MPZL2	11	118253403	118264536
NMRAL1	16	4461680	4495763
IVL	1	152908545	152911886
PPP1R3A	7	113876777	114075920
PTPRS	19	5158495	5340803
FAHD1	16	1826941	1840207
HSD17B3	9	96235306	96302152
NOL7	6	13615327	13632739
EPS15L1	19	16355239	16472085
ANKRD10	13	110878540	110915069
CRYBA4	22	26621964	26630672
SLC5A4	22	32218476	32255341
TCF19	CHR_HSCHR6_MHC_MCF_CTG1	31237108	31242737
CLN8	CHR_HSCHR8_7_CTG1	1755340	1786132
HSF4	16	67164681	67169945
PHF6	X	134373253	134428791
CTSE	1	206009264	206023909
PI15	8	74824537	74855029
RABGAP1	9	122940833	123104866
PSMD11	17	32444261	32483318
SYBU	8	109573978	109691791
SCAF4	21	31671033	31732075
TMEM70	8	73972437	73982783
PBX2	CHR_HSCHR6_MHC_COX_CTG1	32133204	32138654
ZNF589	3	48241100	48299253
TUBB	CHR_HSCHR6_MHC_MCF_CTG1	30798683	30803908
AMBN	4	70592256	70607288
ZNF235	19	44228729	44305046
TTLL6	17	48762235	48817214
FRMD3	9	83242990	83538546
C11orf85	11	64937517	64972085
CBFA2T2	20	33490075	33650036
PDCD11	10	103396648	103446292
OTOR	20	16748358	16770062
SMNDC1	10	110290730	110304951
CHD9	16	53055033	53329150
P2RY10	X	78945332	78961954
TTC9	14	70641787	70675360
GALNTL5	7	151956379	152019934
KIAA1033	12	105107324	105169134
LRFN3	19	35935358	35945767
HIST1H3B	6	26031650	26032060
KIF27	9	83836698	83921465
TFAP2E	1	35573370	35595328
COQ3	6	99369400	99394204
ZFAND5	9	72351425	72365235
RPTN	1	152153595	152159228
BNC1	15	83255903	83284716
FTSJ2	7	2234231	2242198
IGFBP5	2	216672105	216695525
DDX39B	CHR_HSCHR6_MHC_COX_CTG1	31517671	31534027
LTA	CHR_HSCHR6_MHC_MANN_CTG1	31611502	31613772
ECI1	16	2239395	2252300
HEMK1	3	50569152	50596168
PGAP1	2	196833004	196927796
NUP107	12	68686734	68745809
TMSB15A	X	102513676	102516784
FAM20A	17	68535113	68601389
CEP164	11	117314557	117413268
SCLT1	4	128864921	129093607
TRIM40	CHR_HSCHR6_MHC_QBL_CTG1	30125643	30138271
LOXL4	10	98247690	98268250
NCR3	6	31588895	31592985
MRPL11	11	66435075	66466738
NXN	CHR_HSCHR17_3_CTG2	978299	979770
EIF1	17	41688885	41692668
FCRL6	1	159800511	159816251
ZBTB46	20	63743666	63831244
USP53	4	119212587	119295517
CAND1	12	67269281	67319951
IL18R1	2	102311529	102398775
TPD52L1	6	125119049	125264407
EIF4E	4	98871684	98930637
CLEC5A	7	141927357	141947007
OR2H2	CHR_HSCHR6_MHC_APD_CTG1	29587555	29589138
B3GALT4	CHR_HSCHR6_MHC_MCF_CTG1	33447505	33449198
ZDHHC19	3	196197449	196211437
KIR3DL1	CHR_HSCHR19LRC_PGF1_CTG3_1	54716259	54760779
RFX2	19	5993164	6199572
GPR137	11	64270062	64289500
ATP5S	14	50312326	50335558
CA8	8	60187347	60281412
IL4	5	132673986	132682676
CSMD2	1	33513999	34165842
CPNE3	8	86484830	86561498
RGS9	17	65137431	65227703
ZC3H15	2	186486156	186509363
ZNF311	CHR_HSCHR6_MHC_DBB_CTG1	28994795	29005326
CDKL2	4	75578005	75630716
ZFP14	19	36334453	36379199
TNS4	17	40475828	40501597
SLC5A3	21	34073570	34106260
TTPA	8	63048553	63086053
CBFA2T3	16	88874858	88977204
SAP30	4	173369969	173377532
IQCF3	3	51817604	51830856
ZNF880	19	52369917	52385795
ADAMDEC1	8	24384285	24406013
CAMK2G	10	73812501	73874591
TMEM116	12	111931282	112013185
FAM69A	1	92832737	92961522
KCNK10	14	88180103	88326907
OR8J1	CHR_HG142_HG150_NOVEL_TEST	56360215	56361288
UGT3A1	5	35951010	36001028
TFEC	7	115935148	116159896
HIST1H4C	6	26103876	26104310
MCHR2	6	99919910	99994247
CHKB	22	50578949	50601455
B3GALNT1	3	161083883	161105384
AMY2B	1	103553815	103579534
DNAJC5	20	63895182	63936031
PAM16	16	4331549	4355607
PPFIA2	12	81257975	81759553
DCLK3	3	36712422	36739861
LAMP5	20	9514358	9530524
PLD2	17	4807096	4823434
RBPJL	20	45306851	45317824
BTG1	12	92140278	92145897
TMEM50B	21	33432485	33480011
CSPG4	15	75674322	75712848
MPZL1	1	167721192	167791919
BCR	22	23179704	23318037
TET2	4	105145875	105279816
UTY	Y	13248379	13480673
FBXO8	4	174236658	174284264
OR5P2	CHR_HSCHR11_1_CTG5	7795905	7796973
MSI1	12	120341330	120369180
SFTA2	CHR_HSCHR6_MHC_MANN_CTG1	30975998	30976820
FAM186A	12	50326230	50396622
LPCAT3	12	6976186	7018510
SCRN1	7	29920103	29990289
OR8B12	11	124542682	124543679
IFI27	14	94104836	94116698
DPF2	11	65333754	65353249
FAS	10	88990531	89015785
SOCS2	12	93569814	93583487
CLK2	CHR_HSCHR1_2_CTG31	155278272	155293895
UBA3	3	69054730	69080408
LYPLAL1	1	219173844	219212865
IL31RA	5	55851379	55922853
SGCB	4	52020706	52038482
ZSWIM2	2	186827835	186849208
CCNI2	5	132747445	132754403
FBXO15	18	74073353	74147865
UNC5D	8	35235457	35796550
TM9SF4	20	32109506	32167258
TMPRSS5	11	113687550	113706373
CALM3	19	46601074	46610793
MFSD8	4	127917805	127965995
METTL9	16	21597218	21657473
TRIM27	CHR_HSCHR6_MHC_SSTO_CTG1	28903869	28924846
LDLRAD2	1	21812265	21825221
ZNF253	19	19865886	19894674
CDKN3	14	54396849	54420218
ACTR8	3	53867066	53882202
ZNF100	CHR_HSCHR19_2_CTG2	21732245	21777028
STK19	CHR_HSCHR6_MHC_COX_CTG1	31958721	31968992
SPANXN3	X	143508735	143517475
MRPL9	1	151759643	151763564
LONRF3	X	118974614	119018355
RNF11	1	51236271	51273455
C1QTNF6	22	37180167	37199385
AP1M2	19	10572671	10587315
NCF4	CHR_HSCHR22_1_CTG5	36860995	36880544
SLC6A17	1	110150486	110202202
MRPL14	6	44113454	44127457
TNF	CHR_HSCHR6_MHC_DBB_CTG1	31557707	31560476
SLC13A3	20	46557823	46684467
MARVELD2	CHR_HSCHR5_2_CTG1_1	69415353	69444141
ME1	6	83210389	83431071
OR1M1	19	9093179	9094213
ZNF740	12	53180700	53195141
MFSD3	8	144509074	144511213
HIST1H2AA	6	25726132	25726527
OR9A2	7	143026158	143027195
NXPE4	11	114570591	114595762
TYW5	2	199929975	199955736
LGI3	8	22146825	22157084
SOSTDC1	7	16461481	16530580
TCTN3	10	95663396	95694143
RHOG	11	3826978	3840983
ISX	22	35066136	35087387
TRAF2	9	136881912	136926607
MRI1	19	13764532	13774282
PLCB1	20	8114453	8968360
ITGA5	12	54395261	54419460
MCPH1	8	6406592	6648504
SNX10	7	26291895	26374329
DDX23	12	48829764	48852842
RABEPK	9	125200542	125234158
CD5L	1	157830914	157898256
TRIM10	CHR_HSCHR6_MHC_DBB_CTG1	30142269	30151257
TMEM182	2	102736908	102843893
FBXO43	8	100133360	100145800
CYP46A1	14	99684304	99727301
ARHGEF25	12	57610180	57619379
TPH1	11	18017564	18042426
QSOX1	1	180154834	180204030
PRODH	22	18912777	18936553
HLA-F	CHR_HSCHR6_MHC_SSTO_CTG1	29720539	29736235
DDX17	22	38483440	38507660
TNP2	16	11267748	11269533
PBX2	CHR_HSCHR6_MHC_QBL_CTG1	32142341	32147792
OR51B5	11	5342586	5343524
MEF2D	1	156463727	156500828
DNMBP	10	99875577	100009919
KEL	CHR_HSCHR7_2_CTG6	143002301	143023868
THYN1	11	134248279	134253370
TNIP1	5	151029945	151093577
TMC8	17	78130770	78142968
CGGBP1	3	88051944	88149885
NRBF2	10	63133247	63155031
INPPL1	11	72223701	72239105
C1orf106	1	200891048	200915735
MAGEA1	X	153179285	153183880
KANSL1L	2	210021423	210171383
GON4L	1	155749662	155859400
PDP1	8	93857807	93926066
SHQ1	3	72749277	72861914
HOXB9	17	48621159	48626356
TNIK	3	171061339	171460408
PHOX2A	11	72239077	72245664
KIAA1429	8	94487693	94553529
CRHR2	7	30651943	30700129
RPL29	3	51993600	51995942
PCGF5	10	91163012	91284331
RIF1	2	151409883	151508013
DLK1	14	100725705	100738224
PUS3	11	125893485	125903221
GTF2F1	19	6379569	6393981
DAXX	6	33318558	33329269
KIR2DL1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1	54814235	54828734
KALRN	3	124080023	124726325
ZMIZ2	7	44748581	44769881
MORC3	21	36320189	36386148
STX8	17	9250471	9576591
COL4A3	2	227164565	227314792
SLC2A3	12	7919230	7936275
LRSAM1	9	127451486	127503501
MFSD12	19	3538261	3574290
CHSY3	5	129904472	130186634
ELAVL2	9	23690104	23826337
SCAMP3	1	155255979	155262430
SYN1	X	47571898	47619853
SHOX2	3	158095954	158106503
DEDD	1	161120974	161132688
TSPYL4	6	116249961	116254140
RAP1A	1	111542218	111716691
SP140L	2	230327184	230403732
ZNF812	19	9689924	9700817
ABCB6	2	219209768	219218990
FCRL4	1	157573749	157598080
FBXO36	2	229922302	230013109
KL	13	33016433	33066145
TLK1	2	170990823	171231314
PARPBP	12	102120185	102197520
RAB7A	3	128726122	128814796
PFN2	3	149964904	150050788
CUZD1	10	122832149	122850793
PTPN14	1	214348696	214552449
PFDN6	CHR_HSCHR6_MHC_DBB_CTG1	33267227	33276326
SPRR2F	1	153112114	153113515
TRIM31	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423
CRYBB1	22	26599278	26618088
TTYH1	CHR_HSCHR19LRC_COX1_CTG3_1	54347370	54369057
CDK14	7	90466424	91210590
OR5H14	3	98149326	98150405
HTR3D	3	184031544	184039369
HAO2	1	119368779	119394130
MRPL52	14	22829879	22835037
ZNF20	19	12092843	12140407
WTAP	6	159725585	159756319
FRMD4B	3	69169990	69542583
RPS6KA6	X	84058346	84187907
OR10A6	11	7927633	7928662
DLGAP1	18	3496032	4455335
SAPCD1	CHR_HSCHR6_MHC_MCF_CTG1	31839095	31841147
